field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23,field24,field25,field26,field27,field28,field29,field30
ЗВН-01,500/500/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,500,500х,500,500х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 500х500х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","5632,16"
ЗВН-01,500/600/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,500,500х,600,600х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 500х600х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","5856,61"
ЗВН-01,500/700/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,500,500х,700,700х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 500х700х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","6084,08"
ЗВН-01,600/500/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,600,600х,500,500х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 600х500х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","6130,63"
ЗВН-01,600/600/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,600,600х,600,600х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 600х600х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","6371,32"
ЗВН-01,600/700/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,600,600х,700,700х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 600х700х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","6615,02"
ЗВН-01,700/500/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,700,700х,500,500х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 700х500х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","6797,31"
ЗВН-01,700/600/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,700,700х,600,600х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 700х600х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","7054,24"
ЗВН-01,700/700/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,700,700х,700,700х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 700х700х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","7314,18"
ЗВН-01,800/700/400/н.ст.08/задн.ст.ОЦИНК/не.краш/ст.фильтры/врез.выт/-/без.подсв/вент.нет/сборн,Стандарт,-,800,800х,700,700х,400,400 мм,н.ст.08,нержавеющая сталь 430 0.8мм,задн.ст.ОЦИНК,оцинкованная сталь,не.краш,Нет,ст.фильтры,Стандарт,врез.выт,Врезка в верхней части зонта,-,Без дополнительной врезки,без.подсв,Без подсветки,вент.нет,Без вентилятора,сборн,Сборный зонт,"Зонт вытяжной FINIST ЗВН-01, габариты зонта: 800х700х400 мм, корпус нержавеющая сталь 0.8 мм., задняя стенка оцинкованная сталь, стандартные жироулавливающие фильтры, врезка в верхней части зонта, без дополнительной врезки, без подсветки, без вентилятора, зонт поставляется в сборном виде.","7726,03"
